data,ultimo,abertura,maxima,minima,variacao,acao,mes,ano
2025-02-13,124305.0,124372.0,124403.0,123778.0,-0.06,Ibovespa,fev,2025
2025-02-12,124380.0,126513.0,126513.0,124116.0,-1.69,Ibovespa,fev,2025
2025-02-11,126522.0,125571.0,126886.0,125570.0,0.76,Ibovespa,fev,2025
2025-02-10,125572.0,124619.0,126386.0,124619.0,0.76,Ibovespa,fev,2025
2025-02-07,124619.0,126219.0,126524.0,124320.0,-1.27,Ibovespa,fev,2025
2025-02-06,126225.0,125531.0,126399.0,125249.0,0.55,Ibovespa,fev,2025
2025-02-05,125534.0,125146.0,125846.0,124637.0,0.31,Ibovespa,fev,2025
2025-02-04,125147.0,125964.0,125964.0,124694.0,-0.65,Ibovespa,fev,2025
2025-02-03,125970.0,126135.0,126473.0,125566.0,-0.13,Ibovespa,fev,2025
2025-01-31,126135.0,126914.0,127532.0,126057.0,-0.61,Ibovespa,jan,2025
2025-01-30,126913.0,123433.0,127169.0,123432.0,2.82,Ibovespa,jan,2025
2025-01-29,123432.0,124056.0,124767.0,123278.0,-0.5,Ibovespa,jan,2025
2025-01-28,124056.0,124861.0,124881.0,123973.0,-0.65,Ibovespa,jan,2025
2025-01-27,124862.0,122443.0,124862.0,122207.0,1.97,Ibovespa,jan,2025
2025-01-24,122447.0,122483.0,122908.0,122196.0,-0.03,Ibovespa,jan,2025
2025-01-23,122483.0,122965.0,123958.0,122159.0,-0.4,Ibovespa,jan,2025
2025-01-22,122972.0,123345.0,123865.0,122926.0,-0.3,Ibovespa,jan,2025
2025-01-21,123338.0,122850.0,123462.0,122290.0,0.39,Ibovespa,jan,2025
2025-01-20,122855.0,122349.0,123172.0,121511.0,0.41,Ibovespa,jan,2025
2025-01-17,122350.0,121258.0,122674.0,121074.0,0.92,Ibovespa,jan,2025
2025-01-16,121234.0,122649.0,122660.0,120796.0,-1.15,Ibovespa,jan,2025
2025-01-15,122650.0,119309.0,122988.0,119303.0,2.81,Ibovespa,jan,2025
2025-01-14,119299.0,119007.0,119451.0,118223.0,0.25,Ibovespa,jan,2025
2025-01-13,119007.0,118856.0,119729.0,118743.0,0.13,Ibovespa,jan,2025
2025-01-10,118856.0,119781.0,120052.0,118732.0,-0.77,Ibovespa,jan,2025
2025-01-09,119781.0,119625.0,120145.0,119502.0,0.13,Ibovespa,jan,2025
2025-01-08,119625.0,121160.0,121160.0,119351.0,-1.27,Ibovespa,jan,2025
